id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointFrm
1,m,23,1,1,1_1,52,R,0.98,0.14,0.185,0.096,0.133,20
1,m,23,1,2,1_1,52,R,0.93,0.139,0.184,0.097,0.134,20
1,m,23,1,3,1_1,52,R,0.98,0.147,0.194,0.102,0.141,20
1,m,23,1,4,1_1,52,R,0.98,0.154,0.204,0.106,0.147,20
1,m,23,1,5,1_1,52,R,0.98,0.154,0.206,0.106,0.15,20
1,m,23,1,6,1_1,52,R,0.98,0.158,0.213,0.108,0.155,20
1,m,23,1,7,1_1,52,R,0.98,0.165,0.223,0.112,0.162,20
1,m,23,1,8,1_1,52,R,0.93,0.157,0.218,0.105,0.157,20
1,m,23,1,9,1_1,52,R,0.93,0.16,0.221,0.105,0.157,20
1,m,23,1,10,1_1,52,R,0.93,0.162,0.225,0.106,0.16,20
1,m,23,1,11,1_1,52,R,0.98,0.171,0.237,0.116,0.172,20
1,m,23,1,12,1_1,52,R,0.93,0.165,0.232,0.118,0.176,20
1,m,23,1,13,1_1,52,R,0.93,0.161,0.228,0.11,0.167,20
1,m,23,1,14,1_1,52,R,0.93,0.166,0.232,0.111,0.168,20
1,m,23,1,15,1_1,52,R,0.98,0.174,0.24,0.116,0.172,20
1,m,23,1,16,1_1,52,R,0.93,0.163,0.228,0.114,0.17,20
1,m,23,1,17,1_1,52,R,0.93,0.164,0.228,0.113,0.167,20
1,m,23,1,18,1_1,52,R,0.93,0.168,0.231,0.115,0.167,20
1,m,23,1,19,1_1,52,R,0.93,0.175,0.236,0.121,0.172,20
1,m,23,1,20,1_1,52,R,0.93,0.177,0.236,0.125,0.174,20
1,m,23,1,21,1_1,52,R,0.93,0.174,0.233,0.122,0.171,20
1,m,23,1,22,1_1,52,R,0.93,0.178,0.235,0.127,0.174,20
1,m,23,1,23,1_1,52,R,0.93,0.18,0.236,0.13,0.176,20
1,m,23,1,24,1_1,52,R,0.93,0.177,0.231,0.129,0.173,20
1,m,23,1,25,1_1,52,R,0.93,0.173,0.225,0.125,0.167,20
1,m,23,1,26,1_1,52,R,0.93,0.174,0.226,0.126,0.168,20
1,m,23,1,27,1_1,52,R,0.93,0.169,0.22,0.123,0.164,20
1,m,23,1,28,1_1,52,R,0.93,0.161,0.21,0.116,0.155,20
1,m,23,1,29,1_1,52,R,0.93,0.155,0.203,0.111,0.149,20
1,m,23,1,30,1_1,52,R,0.93,0.154,0.201,0.11,0.147,20
1,m,23,1,31,1_1,52,R,0.93,0.152,0.198,0.109,0.145,20
1,m,23,1,32,1_1,52,R,0.93,0.15,0.195,0.107,0.143,20
1,m,23,1,33,1_1,52,R,0.93,0.151,0.196,0.107,0.143,20
1,m,23,1,34,1_1,52,R,0.93,0.155,0.2,0.11,0.145,20
1,m,23,1,35,1_1,52,R,0.93,0.158,0.202,0.113,0.148,20
1,m,23,1,36,1_1,52,R,0.93,0.158,0.202,0.113,0.147,20
1,m,23,1,37,1_1,52,R,0.98,0.161,0.205,0.115,0.149,20
1,m,23,1,38,1_1,52,R,0.98,0.161,0.205,0.115,0.149,20
1,m,23,1,39,1_1,52,R,0.98,0.166,0.209,0.119,0.153,20
1,m,23,1,40,1_1,52,R,0.98,0.165,0.208,0.119,0.152,20
1,m,23,1,41,1_1,52,R,0.98,0.168,0.211,0.12,0.154,20
1,m,23,1,42,1_1,52,R,0.98,0.175,0.218,0.126,0.16,20
1,m,23,1,43,1_1,52,R,0.93,0.181,0.225,0.131,0.165,20
1,m,23,1,44,1_1,52,R,0.98,0.185,0.229,0.134,0.169,20
1,m,23,1,45,1_1,52,R,0.88,0.187,0.232,0.135,0.171,20
1,m,23,1,46,1_1,52,R,0.88,0.192,0.238,0.144,0.181,20
1,m,23,1,47,1_1,52,R,0.88,0.186,0.232,0.141,0.178,20
1,m,23,1,48,1_1,52,R,0.93,0.185,0.232,0.141,0.179,20
1,m,23,1,49,1_1,52,R,0.88,0.193,0.24,0.142,0.18,20
1,m,23,1,50,1_1,52,R,0.88,0.189,0.237,0.143,0.182,20
1,m,23,1,51,1_1,52,R,0.88,0.188,0.236,0.142,0.182,20
1,m,23,1,52,1_1,52,R,0.88,0.188,0.237,0.141,0.181,20
1,m,23,1,53,1_1,52,R,0.93,0.177,0.226,0.134,0.175,20
1,m,23,1,54,1_1,52,R,0.93,0.178,0.226,0.127,0.167,20
1,m,23,1,55,1_1,52,R,0.93,0.172,0.218,0.119,0.157,20
1,m,23,1,56,1_1,52,R,0.93,0.165,0.211,0.113,0.15,20
1,m,23,1,57,1_1,52,R,0.93,0.166,0.212,0.113,0.15,20
1,m,23,1,58,1_1,52,R,0.93,0.167,0.213,0.114,0.151,20
1,m,23,1,59,1_1,52,R,0.88,0.187,0.235,0.131,0.171,20
1,m,23,1,60,1_1,52,R,0.88,0.206,0.258,0.149,0.192,20
1,m,23,2,1,1_2,11,L,0.93,-0.159,-0.162,-0.115,-0.126,28
1,m,23,2,2,1_2,11,L,0.93,-0.174,-0.18,-0.128,-0.141,28
1,m,23,2,3,1_2,11,L,0.93,-0.171,-0.179,-0.129,-0.145,28
1,m,23,2,4,1_2,11,L,0.93,-0.159,-0.168,-0.121,-0.137,28
1,m,23,2,5,1_2,11,L,0.93,-0.166,-0.177,-0.126,-0.144,28
1,m,23,2,6,1_2,11,L,0.93,-0.177,-0.191,-0.133,-0.154,28
1,m,23,2,7,1_2,11,L,0.93,-0.182,-0.198,-0.135,-0.159,28
1,m,23,2,8,1_2,11,L,0.93,-0.185,-0.204,-0.136,-0.163,28
1,m,23,2,9,1_2,11,L,0.93,-0.179,-0.198,-0.131,-0.158,28
1,m,23,2,10,1_2,11,L,0.93,-0.197,-0.219,-0.142,-0.172,28
1,m,23,2,11,1_2,11,L,0.93,-0.202,-0.227,-0.146,-0.179,28
1,m,23,2,12,1_2,11,L,0.93,-0.197,-0.225,-0.142,-0.178,28
