id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,1,1,1_1,52,R,0.88,0.019,-0.000946068,-0.012,-0.013258768,4
1,m,18,1,2,1_1,52,R,0.88,0,-0.018718079,-0.024,-0.024596285,4
1,m,18,1,3,1_1,52,R,0.88,-0.015,-0.032736011,-0.032,-0.032048766,4
1,m,18,1,4,1_1,52,R,0.88,-0.024,-0.040818129,-0.037,-0.036449487,4
1,m,18,1,5,1_1,52,R,0.88,-0.015,-0.031698694,-0.028,-0.027220188,4
1,m,18,1,6,1_1,52,R,0.88,0.007,-0.00902407,-0.012,-0.010376669,4
1,m,18,1,7,1_1,52,R,0.88,0.028,0.01257516,0.004,0.006408398,4
1,m,18,1,8,1_1,52,R,0.88,0.041,0.025909543,0.014,0.016893409,4
1,m,18,1,9,1_1,52,R,0.88,0.043,0.027837924,0.016,0.018907143,4
1,m,18,1,10,1_1,52,R,0.88,0.049,0.033609249,0.02,0.022857344,4
1,m,18,1,11,1_1,52,R,0.88,0.048,0.032004632,0.018,0.020405876,4
1,m,18,1,12,1_1,52,R,0.88,0.046,0.029503948,0.017,0.019022472,4
1,m,18,1,13,1_1,52,R,0.88,0.041,0.024156828,0.013,0.014706326,4
1,m,18,1,14,1_1,52,R,0.88,0.042,0.025022727,0.013,0.014631655,4
1,m,18,1,15,1_1,52,R,0.88,0.04,0.022786634,0.011,0.012477887,4
1,m,18,1,16,1_1,52,R,0.88,0.046,0.028835334,0.015,0.016561273,4
1,m,18,1,17,1_1,52,R,0.88,0.047,0.029999319,0.015,0.016722285,4
1,m,18,1,18,1_1,52,R,0.88,0.047,0.030170034,0.015,0.016882487,4
1,m,18,1,19,1_1,52,R,0.88,0.051,0.034498939,0.019,0.021203944,4
1,m,18,1,20,1_1,52,R,0.88,0.05,0.033492291,0.019,0.021204832,4
1,m,18,1,21,1_1,52,R,0.88,0.049,0.032413063,0.018,0.020124075,4
1,m,18,1,22,1_1,52,R,0.88,0.05,0.033359318,0.019,0.021040207,4
1,m,18,1,23,1_1,52,R,0.88,0.047,0.030122107,0.016,0.017798422,4
1,m,18,1,24,1_1,52,R,0.88,0.043,0.025812915,0.013,0.01447563,4
1,m,18,1,25,1_1,52,R,0.88,0.04,0.022581667,0.012,0.013233818,4
1,m,18,1,26,1_1,52,R,0.88,0.039,0.021512599,0.011,0.012152749,4
1,m,18,1,27,1_1,52,R,0.88,0.038,0.020286062,0.01,0.01091119,4
1,m,18,1,28,1_1,52,R,0.88,0.038,0.020138581,0.01,0.010750225,4
1,m,18,1,29,1_1,52,R,0.88,0.039,0.020896746,0.011,0.011509804,4
1,m,18,1,30,1_1,52,R,0.88,0.039,0.020573258,0.011,0.011189193,4
1,m,18,1,31,1_1,52,R,0.88,0.038,0.01942339,0.011,0.011028831,4
1,m,18,1,32,1_1,52,R,0.88,0.038,0.019155917,0.011,0.01078814,4
1,m,18,1,33,1_1,52,R,0.88,0.037,0.018163473,0.011,0.010788225,4
1,m,18,1,34,1_1,52,R,0.88,0.036,0.01701072,0.011,0.010627951,4
1,m,18,1,35,1_1,52,R,0.88,0.039,0.019993962,0.013,0.012627623,4
1,m,18,1,36,1_1,52,R,0.88,0.039,0.02001072,0.013,0.012627951,4
1,m,18,1,37,1_1,52,R,0.88,0.039,0.020148355,0.014,0.013788055,4
1,m,18,1,38,1_1,52,R,0.88,0.041,0.022233121,0.015,0.014868363,4
1,m,18,1,39,1_1,52,R,0.88,0.041,0.022329829,0.015,0.014948665,4
1,m,18,1,40,1_1,52,R,0.88,0.043,0.024418924,0.016,0.016028837,4
1,m,18,1,41,1_1,52,R,0.88,0.049,0.03064752,0.019,0.019269453,4
1,m,18,1,42,1_1,52,R,0.88,0.049,0.030877865,0.02,0.020510336,4
1,m,18,1,43,1_1,52,R,0.88,0.048,0.030023879,0.019,0.019671362,4
1,m,18,1,44,1_1,52,R,0.88,0.045,0.027180152,0.016,0.01683218,4
1,m,18,1,45,1_1,52,R,0.88,0.044,0.02628322,0.015,0.015911336,4
1,m,18,1,46,1_1,52,R,0.88,0.046,0.028590056,0.016,0.017233223,4
1,m,18,1,47,1_1,52,R,0.88,0.044,0.026763039,0.015,0.016392795,4
1,m,18,1,48,1_1,52,R,0.88,0.043,0.025979085,0.014,0.01563585,4
1,m,18,1,49,1_1,52,R,0.88,0.043,0.026056687,0.013,0.014716473,4
1,m,18,1,50,1_1,52,R,0.88,0.044,0.027132958,0.015,0.016797266,4
1,m,18,1,51,1_1,52,R,0.88,0.042,0.025118035,0.013,0.014798856,4
1,m,18,1,52,1_1,52,R,0.88,0.039,0.022112601,0.011,0.012799435,4
1,m,18,1,53,1_1,52,R,0.88,0.036,0.018926968,0.008,0.00964086,4
1,m,18,1,54,1_1,52,R,0.88,0.022,0.00424477,-0.004,-0.003086686,4
1,m,18,1,55,1_1,52,R,0.88,0.002,-0.016937666,-0.02,-0.020371037,4
1,m,18,1,56,1_1,52,R,0.88,-0.035,-0.055958874,-0.046,-0.048443392,4
1,m,18,1,57,1_1,52,R,0.88,-0.035,-0.055968904,-0.047,-0.049444561,4
1,m,18,1,58,1_1,52,R,0.88,-0.08,-0.103767618,-0.079,-0.084300634,4
1,m,18,1,59,1_1,52,R,0.88,-0.121,-0.147384328,-0.11,-0.117978915,4
1,m,18,1,60,1_1,52,R,0.88,-0.151,-0.179786108,-0.132,-0.142366253,4
1,m,18,3,1,1_3,31,L,0.77,-0.096,-0.136760286,-0.091,-0.111450637,4.5
1,m,18,3,2,1_3,31,L,0.77,-0.108,-0.14826891,-0.095,-0.115332352,4.5
1,m,18,3,3,1_3,31,L,0.82,-0.141,-0.18018294,-0.118,-0.138424084,4.5
1,m,18,3,4,1_3,31,L,0.88,-0.167,-0.205686209,-0.143,-0.163612504,4.5
1,m,18,3,5,1_3,31,L,0.88,-0.159,-0.1972377,-0.141,-0.161445019,4.5
1,m,18,3,6,1_3,31,L,0.88,-0.16,-0.197933427,-0.141,-0.161211133,4.5
1,m,18,3,7,1_3,31,L,0.88,-0.161,-0.198963348,-0.141,-0.161262728,4.5
1,m,18,3,8,1_3,31,L,0.88,-0.162,-0.199901612,-0.142,-0.162194171,4.5
1,m,18,3,9,1_3,31,L,0.88,-0.162,-0.199789532,-0.142,-0.162063027,4.5
1,m,18,3,10,1_3,31,L,0.88,-0.163,-0.200792416,-0.143,-0.163064559,4.5
1,m,18,3,11,1_3,31,L,0.88,-0.163,-0.201117967,-0.142,-0.162380955,4.5
1,m,18,3,12,1_3,31,L,0.88,-0.163,-0.201197707,-0.143,-0.163494627,4.5
1,m,18,3,13,1_3,31,L,0.88,-0.174,-0.212845703,-0.151,-0.172125719,4.5
1,m,18,3,14,1_3,31,L,0.88,-0.173,-0.211883396,-0.15,-0.171181037,4.5
1,m,18,3,15,1_3,31,L,0.88,-0.183,-0.222516963,-0.157,-0.178804468,4.5
1,m,18,3,16,1_3,31,L,0.88,-0.185,-0.224654914,-0.159,-0.180983067,4.5
1,m,18,3,17,1_3,31,L,0.88,-0.189,-0.228916483,-0.161,-0.183230095,4.5
1,m,18,3,18,1_3,31,L,0.88,-0.183,-0.223001737,-0.157,-0.179311395,4.5
1,m,18,3,19,1_3,31,L,0.88,-0.183,-0.222995644,-0.156,-0.178307994,4.5
